"data";"valor"
"01/04/2023";"715,5"
"01/05/2023";"675,2"
"01/06/2023";"821,8"
"01/07/2023";"858,0"
"01/08/2023";"859,5"
"01/09/2023";"782,6"
"01/10/2023";"877,3"
"01/11/2023";"878,8"
"01/12/2023";"885,1"
"01/01/2024";"801,1"
"01/02/2024";"827,5"
"01/03/2024";"942,1"
"01/04/2024";"889,5"
"01/05/2024";"983,6"
"01/06/2024";"942,8"
"01/07/2024";"967,6"
"01/08/2024";"993,9"
"01/09/2024";"917,5"
"01/10/2024";"954,9"
"01/11/2024";"925,4"
"01/12/2024";"1128,2"
"01/01/2025";"949,6"
"01/02/2025";"1013,0"
"01/03/2025";"1103,9"
"01/04/2025";"982,7"
"01/05/2025";"1068,9"
"01/06/2025";"1084,0"
"01/07/2025";"1036,9"
"01/08/2025";"943,0"
"01/09/2025";"932,7"
"01/10/2025";"996,4"
"01/11/2025";"978,4"
"01/12/2025";"1010,8"
"01/01/2026";"1157,0"
"01/02/2026";"1061,2"
"01/03/2026";"1063,2"
"01/04/2026";"1139,8"
"01/05/2026";"1107,6"
"01/06/2026";"1069,3"
"01/07/2026";"1066,0"
